,age,workclass,education_level,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
64,19,1,2,10,3,6,6,1,1,0,0,32,1
65,31,1,1,13,4,4,6,2,0,0,0,40,1
66,29,2,1,13,1,4,1,1,1,0,0,70,1
67,23,1,2,10,3,8,4,1,1,0,0,40,1
68,79,1,2,10,1,6,0,1,1,0,0,20,1
69,27,1,4,9,3,0,6,1,1,0,0,40,21
70,40,1,6,12,1,9,1,1,1,0,0,40,1
71,18,1,3,7,3,0,6,1,0,0,0,22,1
72,31,5,9,4,1,10,1,1,1,0,0,40,1
73,18,1,4,9,3,4,4,1,1,0,0,30,1
74,52,1,1,13,1,0,1,1,1,0,0,40,13
75,46,1,4,9,1,0,2,1,0,0,0,40,1
76,59,1,4,9,1,4,1,1,1,0,0,48,1
77,44,1,4,9,2,2,4,1,0,14344,0,40,1
78,53,1,4,9,2,4,6,1,0,0,0,35,1
79,49,5,4,9,1,13,1,1,1,0,0,40,1
80,33,1,11,14,1,6,1,1,1,0,0,50,1
81,30,1,8,5,3,4,4,1,1,0,0,40,1
82,43,4,14,16,3,6,4,1,0,0,0,50,1
83,57,1,7,11,1,6,1,1,1,0,0,40,1
84,37,1,2,10,2,2,0,1,0,0,0,40,1
85,28,1,2,10,2,8,0,2,0,0,0,25,1
86,34,5,1,13,1,13,1,1,1,0,0,40,1
87,29,5,2,10,3,7,4,1,1,0,0,50,1
88,48,2,14,16,1,6,1,1,1,0,1902,60,1
89,37,1,2,10,1,4,1,1,1,0,0,48,1
90,48,1,6,12,2,5,0,1,0,0,0,40,3
91,32,4,4,9,3,0,6,2,1,0,0,40,1
92,76,1,11,14,1,5,1,1,1,0,0,40,1
93,44,1,1,13,1,5,1,1,1,15024,0,60,1
94,47,2,11,14,3,6,4,1,0,0,0,50,1
95,20,1,2,10,3,1,6,1,0,0,0,40,1
96,29,1,4,9,3,2,4,1,1,0,0,40,1
97,32,3,4,9,1,2,1,1,1,7688,0,40,1
98,30,1,3,7,3,7,6,1,1,0,0,40,1
99,31,5,4,9,3,9,4,1,0,0,0,40,1
100,42,1,4,9,1,7,1,1,1,0,0,40,1
101,24,1,1,13,3,4,0,1,1,0,0,40,1
102,38,1,5,15,1,6,1,1,1,0,0,40,1
103,56,2,4,9,1,0,1,1,1,0,1887,50,5
104,28,1,2,10,1,4,2,1,0,4064,0,25,1
105,36,1,4,9,3,8,6,1,0,0,0,40,1
106,53,1,8,5,1,7,1,1,1,0,0,50,1
107,56,3,2,10,1,4,1,1,1,0,0,50,1
108,49,5,7,11,1,2,1,2,1,0,0,40,1
109,55,1,2,10,1,4,1,1,1,0,0,56,1
110,22,1,4,9,3,2,4,1,1,0,0,41,1
111,21,1,2,10,3,0,6,1,0,0,0,40,1
112,40,1,1,13,1,5,1,1,1,0,0,60,1
113,30,1,1,13,3,5,6,2,1,0,0,40,6
114,29,6,1,13,1,6,1,1,1,0,0,50,1
115,19,1,2,10,3,0,6,2,1,0,0,35,1
116,47,1,1,13,1,5,2,1,0,0,0,40,1
117,20,1,2,10,3,9,6,1,0,0,1719,28,1
118,31,1,6,12,1,9,1,1,1,0,0,40,1
119,39,1,2,10,2,2,4,1,1,0,0,40,1
120,28,1,6,12,3,4,4,1,0,0,0,60,1
121,24,1,4,9,3,0,4,1,0,0,1762,40,1
122,38,2,4,9,1,2,1,1,1,4386,0,35,1
123,37,1,1,13,1,4,1,1,1,0,0,50,1
124,46,1,6,12,2,1,4,2,0,0,0,36,1
125,38,4,11,14,1,6,1,1,1,0,0,40,14
126,43,2,4,9,1,2,1,1,1,0,0,60,1
127,27,1,7,11,1,9,2,1,0,0,0,35,1
128,20,1,2,10,3,4,6,1,1,0,0,20,1
129,49,1,2,10,1,2,1,3,1,0,0,40,1
130,61,3,4,9,1,2,1,1,1,0,0,40,1
131,27,1,2,10,3,4,6,1,0,0,0,40,1
132,19,1,2,10,3,0,6,1,1,0,0,30,21
133,45,1,7,11,3,6,4,1,0,0,1564,40,1
134,70,1,2,10,3,1,0,1,1,0,0,40,1
135,31,1,4,9,3,11,0,2,0,0,0,30,1
136,22,1,2,10,1,0,1,1,1,0,0,24,1
137,36,1,4,9,5,0,0,1,0,0,0,24,1
138,64,1,3,7,1,2,1,1,1,0,2179,40,1
139,47,5,2,10,2,9,0,1,0,0,0,38,21
140,34,1,4,9,3,9,4,1,0,0,0,40,1
141,33,1,1,13,3,5,0,3,0,0,0,40,16
142,21,1,4,9,3,2,6,1,1,0,0,35,1
143,48,1,4,9,1,2,1,1,1,0,0,46,1
144,23,1,1,13,3,7,4,1,1,0,0,40,1
145,71,2,2,10,4,4,0,2,1,0,1816,2,1
146,29,1,4,9,2,2,4,1,1,0,0,60,1
147,42,1,1,13,4,0,0,2,1,0,0,50,1
148,25,1,4,9,3,0,0,1,0,0,0,40,1
149,44,3,11,14,2,5,0,3,0,0,0,40,1
150,28,1,4,9,3,5,4,3,0,0,0,40,3
151,45,2,11,14,1,4,1,1,1,0,0,40,1
152,36,1,2,10,2,0,0,1,0,0,0,40,21
153,39,4,6,12,3,5,4,1,1,0,0,42,1
154,46,6,11,14,5,13,0,1,1,0,0,40,1
155,18,1,3,7,3,7,6,1,1,0,0,16,1
156,66,5,7,11,5,6,4,1,0,0,0,20,1
157,27,1,4,9,3,0,4,1,1,0,1980,40,1
158,28,6,4,9,1,13,1,1,1,0,0,40,1
159,51,1,2,10,1,4,1,1,1,0,1977,40,1
160,27,1,1,13,3,2,4,1,1,0,0,50,1
161,28,6,1,13,1,6,1,1,1,0,0,40,1
162,27,1,4,9,6,4,0,1,0,0,0,25,1
163,21,1,4,9,3,2,6,2,1,0,0,40,1
164,34,1,4,9,3,7,4,2,1,0,0,40,1
165,18,1,4,9,3,0,6,1,1,0,0,12,1
166,33,1,1,13,1,6,1,1,1,0,0,65,1
167,44,5,2,10,1,5,1,2,1,0,0,38,1
168,43,1,2,10,2,9,4,1,0,0,0,40,1
169,30,1,2,10,3,2,4,2,1,0,0,45,1
170,40,1,9,4,1,8,1,1,1,0,0,40,21
171,37,4,2,10,1,9,1,1,1,0,0,42,1
172,34,1,4,9,1,9,1,2,1,0,0,40,1
173,41,2,1,13,2,5,4,1,0,0,0,40,1
174,31,1,11,14,1,6,2,1,0,0,0,50,1
175,58,6,14,16,1,6,1,1,1,0,0,1,1
176,38,1,2,10,2,8,4,2,0,0,0,28,1
177,24,1,2,10,1,8,1,1,1,0,0,40,1
178,41,5,1,13,1,2,1,2,1,0,0,40,1
179,47,1,2,10,1,1,1,1,1,0,0,45,1
180,41,4,1,13,1,1,1,1,1,0,0,24,1
181,23,1,15,3,1,11,0,1,1,0,0,40,21
182,36,1,2,10,2,2,4,1,1,0,0,40,1
183,40,4,11,14,3,5,4,1,0,14084,0,55,1
184,35,1,11,14,1,6,0,1,1,7298,0,40,1
185,24,2,4,9,3,4,4,1,1,0,0,40,1
186,26,1,11,14,3,6,4,1,0,0,1876,40,1
187,51,1,1,13,1,5,1,1,1,0,0,50,1
188,42,5,2,10,3,6,4,1,0,0,1340,40,1
189,37,6,4,9,2,9,0,1,0,0,0,35,1
190,18,1,3,7,3,4,6,1,0,0,0,40,1
191,36,1,1,13,1,0,1,2,1,7298,0,36,1
192,35,1,4,9,2,2,4,1,1,0,0,60,1
193,58,3,4,9,1,4,2,1,0,15024,0,35,1
194,17,1,3,7,3,4,6,1,0,0,0,12,1
195,44,5,4,9,1,11,1,2,1,0,0,40,1
196,37,1,4,9,1,2,1,1,1,0,0,40,1
197,35,1,2,10,3,4,4,4,0,0,0,40,1
198,60,1,4,9,1,2,1,3,1,0,0,40,1
199,54,3,9,4,1,8,1,1,1,0,0,40,1
200,37,1,1,13,3,5,4,2,1,0,0,60,1
201,50,1,6,12,2,4,4,1,0,0,0,40,1
202,38,1,1,13,1,4,1,1,1,0,0,50,18
203,45,1,1,13,1,6,1,1,1,0,0,55,1
204,25,1,13,6,3,2,4,1,1,0,0,40,1
205,31,1,2,10,1,7,1,1,1,0,0,40,1
206,90,1,4,9,3,0,4,2,1,0,2206,40,1
207,54,1,4,9,1,9,1,2,1,0,0,20,1
208,53,5,16,1,3,8,4,1,0,0,0,35,1
209,18,1,4,9,3,4,6,1,0,0,0,40,1
210,66,2,4,9,1,10,1,1,1,1409,0,50,1
211,75,1,7,11,5,9,4,1,0,0,0,20,30
212,65,1,4,9,2,9,4,1,0,0,0,40,1
213,35,1,3,7,4,11,4,2,1,3674,0,40,1
214,41,1,4,9,2,4,0,2,0,0,0,38,1
215,25,1,2,10,3,9,4,1,1,0,0,42,1
216,33,1,2,10,2,2,0,0,0,0,0,40,1
217,28,1,5,15,3,6,4,1,1,0,0,55,1
218,59,6,4,9,1,0,1,1,1,0,0,40,1
219,40,6,2,10,3,9,4,1,0,0,0,38,1
220,41,1,1,13,1,5,1,1,1,0,0,50,14
221,38,5,11,14,1,5,1,1,1,0,0,70,1
222,23,1,4,9,3,11,6,1,1,0,0,40,1
223,40,1,1,13,1,6,1,1,1,0,0,40,1
224,41,2,4,9,1,0,2,1,0,0,0,20,1
225,24,6,6,12,1,13,1,1,1,0,0,50,1
226,38,1,2,10,2,2,4,1,1,0,1741,40,1
227,58,1,4,9,1,9,1,1,1,0,0,45,1
228,32,1,4,9,3,0,4,1,0,0,0,34,1
229,40,1,6,12,1,1,1,1,1,0,1977,60,1
230,41,1,5,15,1,6,2,1,0,0,0,40,1
231,42,1,1,13,1,9,2,2,0,0,0,40,1
232,59,5,13,6,5,0,0,2,0,0,0,30,1
233,19,5,2,10,3,9,6,1,1,0,0,40,1
234,58,1,2,10,3,11,4,1,1,0,0,20,1
235,42,2,4,9,1,10,1,3,1,0,0,40,2
236,20,1,4,9,3,0,6,1,0,0,0,40,1
237,32,1,4,9,4,0,4,1,0,0,0,30,1
238,45,1,7,11,5,5,4,1,0,0,0,45,1
239,50,1,9,4,2,2,4,1,1,0,0,40,1
240,36,1,1,13,2,6,6,1,0,0,0,40,1
241,45,1,4,9,1,4,1,1,1,0,0,60,1
242,17,1,3,7,3,0,6,1,1,0,0,12,1
243,59,1,2,10,1,4,1,1,1,4064,0,40,1
244,26,1,3,7,1,2,1,1,1,0,0,40,1
245,37,3,2,10,1,5,1,3,1,0,0,75,35
246,64,1,4,9,1,5,1,1,1,0,0,40,1
247,33,1,1,13,3,6,4,1,0,0,0,45,1
248,33,1,4,9,1,2,2,1,0,0,0,40,1
249,61,1,4,9,1,5,1,1,1,0,0,40,1
250,17,1,8,5,3,0,6,1,1,1055,0,24,1
251,50,2,11,14,1,10,1,1,1,2407,0,98,1
252,27,5,11,14,3,6,6,1,1,0,0,35,1
253,30,1,4,9,2,6,6,1,0,0,0,40,1
254,43,1,4,9,1,7,1,2,1,0,0,40,1
255,44,1,2,10,1,2,1,1,1,7298,0,40,1
256,35,1,2,10,3,5,4,1,0,0,0,40,1
257,25,1,2,10,3,1,6,1,0,0,0,40,1
258,24,1,2,10,1,8,2,1,0,7298,0,48,1
259,22,1,1,13,3,6,4,1,0,0,0,15,6
260,42,5,2,10,1,2,1,1,1,5178,0,40,1
261,34,1,6,12,2,4,0,2,0,0,0,45,1
262,60,1,1,13,2,6,4,1,0,0,0,42,1
263,21,1,4,9,3,7,6,1,1,0,0,40,1
264,57,4,11,14,1,4,1,1,1,15024,0,40,1
265,41,1,5,15,1,6,1,1,1,0,0,60,1
266,50,1,2,10,2,0,4,1,1,0,0,45,1
267,25,1,1,13,3,5,4,1,0,0,0,40,1
268,50,1,9,4,1,2,1,1,1,0,0,40,27
269,36,1,1,13,1,6,1,1,1,0,0,45,1
270,31,1,4,9,2,6,4,1,0,0,0,40,1
271,29,5,1,13,3,13,4,1,1,0,0,56,1
272,21,1,2,10,3,4,6,1,1,0,0,45,1
273,27,1,1,13,3,1,0,2,0,0,0,40,1
274,65,1,4,9,1,11,1,1,1,0,0,16,1
275,37,3,1,13,2,4,4,1,0,0,0,60,1
276,24,1,4,9,3,2,6,1,1,0,0,40,1
277,38,1,4,9,2,4,4,1,1,0,0,80,1
278,48,1,1,13,1,9,1,1,1,7688,0,40,1
279,21,1,2,10,3,0,4,3,0,0,0,25,1
280,31,1,4,9,1,11,1,1,1,0,0,45,1
281,55,1,4,9,1,4,1,1,1,4386,0,40,1
282,24,1,2,10,1,9,2,3,0,0,0,40,26
283,43,1,4,9,2,9,4,1,0,0,0,40,1
284,26,1,6,12,3,1,4,1,1,0,0,45,1
285,46,1,6,12,3,6,4,1,0,0,0,33,1
286,35,1,6,12,1,9,1,1,1,0,0,40,1
287,41,3,2,10,1,10,1,1,1,0,0,54,1
288,26,1,1,13,3,4,4,1,1,0,0,40,1
289,34,1,11,14,1,5,1,3,1,7298,0,35,28
290,36,2,1,13,2,6,4,2,0,0,0,40,1
291,22,1,2,10,3,4,6,1,1,0,0,15,1
292,24,1,2,10,3,8,4,1,1,0,0,40,1
293,77,2,2,10,1,4,1,1,1,0,0,40,1
294,22,1,15,3,1,8,0,1,0,0,0,40,21
295,29,1,2,10,3,1,4,1,0,0,0,40,1
296,62,1,4,9,5,0,4,1,0,0,0,24,1
297,39,2,4,9,1,5,1,1,1,0,0,40,1
298,43,1,2,10,1,2,1,1,1,0,1485,50,1
299,35,1,4,9,2,11,4,1,1,0,0,45,1
300,29,1,3,7,3,5,4,1,0,0,0,40,1
301,76,2,11,14,1,2,1,1,1,0,0,10,1
302,63,2,4,9,1,10,1,1,1,0,0,45,1
303,43,1,2,10,1,6,2,1,0,0,1887,50,1
304,58,2,4,9,1,7,1,1,1,0,0,40,1
305,66,1,4,9,3,11,4,1,1,2050,0,55,1
306,41,1,2,10,3,2,4,2,1,0,0,45,1
307,26,1,1,13,3,9,4,1,1,0,0,40,1
308,47,1,7,11,3,0,4,1,1,0,0,40,1
309,55,5,13,6,1,9,1,1,1,0,0,40,1
310,53,1,4,9,1,11,1,1,1,0,0,40,1
311,17,1,15,3,3,0,0,1,1,0,0,48,21
312,30,1,4,9,3,2,0,1,1,0,0,40,1
313,49,1,11,14,3,6,4,1,1,0,0,60,1
314,19,1,4,9,3,4,0,2,1,0,0,30,29
315,45,1,4,9,1,0,1,2,1,0,0,40,1
316,26,1,6,12,3,4,4,1,1,0,0,40,1
317,38,1,7,11,1,2,1,1,1,7298,0,40,1
318,36,6,4,9,1,13,1,1,1,7298,0,40,1
319,33,1,4,9,3,10,4,1,1,0,0,20,1
320,22,6,2,10,3,13,6,2,0,0,0,40,1
321,43,2,1,13,3,4,4,1,1,0,0,42,1
322,56,1,6,12,6,0,4,1,1,0,0,25,14
323,31,1,1,13,3,6,6,1,1,0,0,25,1
324,33,1,1,13,1,5,1,1,1,0,0,40,1
325,26,1,4,9,1,0,1,1,1,0,0,40,1
326,33,1,1,13,1,5,1,1,1,0,0,40,1
327,46,5,3,7,1,11,1,1,1,0,0,30,1
328,38,4,4,9,1,9,1,1,1,0,0,40,1
329,65,1,3,7,5,0,0,0,1,0,0,40,1
330,40,1,7,11,1,1,1,1,1,0,0,40,1
331,42,1,4,9,1,9,2,1,0,0,0,35,1
332,26,2,8,5,1,2,1,1,1,0,0,40,22
333,36,1,13,6,1,0,2,1,0,0,0,24,1
334,62,1,11,14,1,6,1,1,1,0,0,40,1
335,43,1,1,13,1,11,1,1,1,0,0,45,1
336,43,1,1,13,2,5,4,1,1,0,1564,45,1
337,22,1,4,9,6,4,4,1,1,0,0,55,1
338,28,1,4,9,1,2,1,1,1,0,0,40,1
339,56,2,2,10,1,4,1,1,1,0,0,45,1
340,22,1,6,12,3,4,4,1,0,0,0,15,1
341,57,1,1,13,2,5,4,1,0,0,0,45,1
342,39,1,4,9,2,4,0,1,0,0,0,40,1
343,26,4,2,10,3,9,0,1,0,0,0,15,1
344,17,1,3,7,3,0,6,1,1,0,0,10,1
345,40,6,7,11,1,8,1,1,1,0,0,38,1
346,45,1,4,9,1,8,1,2,1,0,0,40,1
347,44,1,4,9,3,2,4,2,1,0,0,40,1
348,20,5,2,10,3,9,6,1,0,0,0,10,1
349,33,1,4,9,1,2,2,1,0,0,0,40,1
350,23,1,2,10,3,4,4,1,1,0,0,40,1
351,46,2,11,14,2,5,4,1,1,0,0,30,1
352,38,1,4,9,1,4,1,1,1,0,0,50,1
353,54,1,4,9,2,11,4,1,1,0,0,40,1
354,46,1,15,3,2,2,4,1,0,0,2339,45,1
355,25,1,2,10,1,2,1,1,1,0,0,40,1
356,46,1,2,10,2,4,4,1,0,0,0,40,1
357,36,5,2,10,1,11,2,1,0,0,0,40,1
358,23,1,4,9,3,0,4,1,0,0,0,25,1
359,29,1,4,9,4,8,4,1,1,0,0,40,1
360,44,1,2,10,1,9,2,1,0,0,2415,6,1
361,19,1,2,10,3,9,6,1,0,0,0,16,1
362,19,1,4,9,3,0,0,1,0,0,0,40,1
363,35,1,4,9,1,0,2,1,0,0,0,40,1
364,27,1,1,13,3,2,4,1,1,0,0,50,1
365,46,2,6,12,4,2,4,1,1,0,0,40,1
366,34,1,4,9,3,0,4,1,0,0,0,35,1
367,44,1,2,10,1,1,1,1,1,0,0,40,1
368,45,1,2,10,2,7,0,1,0,0,0,40,1
369,25,1,1,13,1,5,1,1,1,0,0,55,1
370,52,3,1,13,1,5,1,1,1,0,0,50,1
371,20,1,2,10,3,7,6,1,1,0,0,40,1
372,28,1,2,10,3,0,4,1,0,0,0,40,1
373,50,6,1,13,1,13,1,1,1,0,0,40,1
374,34,1,7,11,2,1,4,1,0,0,0,64,1
375,28,1,9,4,1,7,1,0,1,0,2179,40,4
376,41,1,11,14,1,5,1,1,1,0,1977,65,1
377,28,1,4,9,1,9,1,1,1,0,0,40,1
378,46,2,4,9,1,2,1,1,1,0,0,25,1
379,32,1,2,10,1,5,1,1,1,0,0,50,1
380,41,5,2,10,2,0,4,2,0,0,0,24,1
381,24,1,4,9,3,7,0,2,0,0,0,40,1
382,33,1,2,10,2,5,0,1,0,0,0,40,1
383,46,1,14,16,1,5,1,1,1,15024,0,60,1
384,31,6,2,10,1,8,1,1,1,0,0,40,1
385,35,1,10,8,2,2,4,1,1,0,0,50,1
386,52,1,12,2,1,8,1,1,1,0,0,40,21
387,30,1,3,7,3,0,6,1,0,0,0,19,1
388,34,5,3,7,4,8,4,2,1,0,0,40,1
389,34,6,4,9,2,11,0,1,0,0,0,40,1
390,20,1,2,10,1,4,1,1,1,0,0,30,1
391,17,1,3,7,3,7,6,1,1,2176,0,18,1
392,32,6,1,13,1,5,2,1,0,0,0,40,1
393,29,1,4,9,2,10,4,1,1,0,0,40,1
394,33,1,13,6,3,2,0,1,0,0,0,35,1
395,25,1,4,9,1,11,1,1,1,0,0,60,1
396,36,4,11,14,3,6,4,1,1,0,1408,40,1
397,23,1,4,9,3,7,4,1,1,0,0,72,25
398,63,3,4,9,1,5,1,1,1,0,0,40,1
399,47,5,11,14,1,6,1,1,1,0,0,40,1
400,40,2,1,13,6,6,4,1,0,2174,0,40,1
401,30,1,6,12,1,0,2,1,0,0,0,25,1
402,27,1,2,10,3,2,6,3,1,0,1980,40,16
403,33,1,11,14,1,6,1,1,1,0,0,50,1
404,34,5,4,9,3,10,4,2,1,594,0,60,1
405,34,5,2,10,3,13,4,1,0,0,0,40,1
406,23,1,2,10,1,9,1,1,1,0,0,40,1
407,42,5,2,10,1,9,2,1,0,0,0,40,1
408,29,1,1,13,3,6,4,1,1,0,0,40,1
409,45,1,4,9,2,9,4,1,0,0,0,28,1
410,24,4,4,9,3,14,6,1,1,0,0,40,1
411,44,1,2,10,1,6,1,1,1,0,0,40,1
412,27,1,8,5,3,2,0,1,1,0,0,40,21
413,20,1,2,10,3,4,4,1,1,0,0,35,1
414,44,1,4,9,5,5,0,2,0,0,0,40,1
415,51,1,4,9,1,2,1,4,1,0,0,40,1
416,20,1,4,9,1,8,1,1,1,0,0,40,1
417,19,1,4,9,3,8,6,2,0,0,0,40,1
418,45,3,2,10,1,2,1,1,1,0,0,55,1
419,60,1,4,9,1,2,1,1,1,0,0,40,1
420,44,2,4,9,1,4,2,1,0,0,0,40,1
421,40,1,7,11,1,8,1,3,1,0,0,40,1
422,30,1,4,9,1,5,2,1,0,0,0,40,1
423,38,1,2,10,1,11,1,2,1,0,0,50,1
424,23,1,4,9,1,11,1,1,1,0,0,60,1
425,44,1,6,12,3,10,6,1,1,0,0,40,1
426,54,5,4,9,1,11,1,2,1,0,0,40,1
427,32,1,1,13,1,6,1,1,1,0,0,50,1
428,50,1,12,2,6,2,0,1,1,0,0,40,1
429,24,1,1,13,3,1,4,1,0,0,0,20,1
430,37,1,4,9,1,9,2,1,0,0,0,60,1
431,52,1,4,9,2,11,0,1,1,0,0,40,1
432,38,1,2,10,1,11,1,1,1,0,0,40,1
433,49,1,11,14,1,5,1,1,1,0,1977,45,1
434,30,1,1,13,1,1,2,1,0,0,0,16,1
435,60,1,2,10,3,6,0,1,1,0,0,40,1
436,35,1,4,9,3,2,4,1,1,0,0,40,1
437,30,1,4,9,3,11,4,1,1,0,0,60,1
438,67,1,7,11,2,0,4,1,0,0,0,24,1
439,46,1,1,13,3,2,4,1,0,0,0,40,1
440,17,1,8,5,3,0,4,1,1,0,0,6,1
441,22,1,2,10,3,7,6,1,1,0,0,30,1
442,27,1,13,6,3,0,4,1,1,0,0,40,1
443,23,1,4,9,3,0,0,1,0,0,0,35,1
444,33,1,6,12,1,2,1,1,1,0,0,45,22
445,43,2,2,10,1,2,1,1,1,0,0,20,1
446,28,6,1,13,3,6,4,1,1,0,0,20,1
447,41,1,4,9,6,2,0,1,0,0,0,40,1
448,25,1,2,10,6,9,6,2,0,0,0,20,1
449,59,5,4,9,1,11,1,1,1,0,0,45,1
450,45,5,1,13,2,6,0,1,0,0,0,40,1
451,38,1,1,13,1,4,1,1,1,15024,0,60,1
452,40,1,4,9,3,0,4,1,0,0,0,35,1
453,46,4,4,9,2,9,4,1,1,0,0,40,1
454,35,1,6,12,3,5,4,1,0,0,0,60,1
455,34,1,4,9,2,6,0,1,0,0,0,25,1
456,33,1,1,13,3,2,6,1,1,0,0,20,1
457,41,1,4,9,2,9,0,1,0,0,0,36,1
458,20,1,2,10,3,8,6,1,1,0,0,40,1
459,23,1,15,3,3,0,6,1,1,0,0,40,37
460,26,1,2,10,3,6,4,1,0,0,0,35,1
461,23,5,4,9,3,10,4,1,1,0,0,40,18
462,62,5,4,9,1,11,1,1,1,0,0,40,1
463,52,1,2,10,1,9,1,1,1,0,0,40,1
464,58,1,2,10,2,0,0,1,0,0,0,42,24
465,25,1,1,13,3,4,4,1,0,0,0,40,1
466,24,1,1,13,3,5,4,2,1,0,0,40,1
467,19,1,2,10,3,13,6,1,1,0,0,8,1
468,43,1,2,10,1,5,1,1,1,0,0,40,1
469,47,5,4,9,4,9,0,2,0,0,0,40,1
470,39,1,4,9,2,0,0,1,0,0,0,40,1
471,49,1,7,11,6,7,0,1,1,0,1380,42,1
472,32,1,7,11,3,2,4,1,1,0,0,45,1
473,34,1,2,10,1,6,1,1,1,0,0,50,1
474,28,1,4,9,2,2,4,1,1,0,0,45,1
475,25,1,2,10,3,9,4,4,0,0,0,20,1
476,34,1,1,13,1,6,1,1,1,0,0,50,1
477,38,3,1,13,1,5,1,1,1,15024,0,80,1
478,50,1,4,9,1,5,1,1,1,7688,0,50,1
479,24,5,2,10,2,7,4,2,1,0,0,50,1
480,37,5,2,10,1,1,1,1,1,0,0,45,1
481,44,1,2,10,2,8,0,1,1,0,0,58,1
482,28,1,2,10,1,4,2,1,0,0,0,40,1
483,42,1,1,13,1,5,1,1,1,0,0,40,1
484,74,1,2,10,2,9,4,1,0,0,0,9,1
485,38,2,4,9,1,2,1,1,1,0,0,50,1
486,44,2,11,14,1,6,1,1,1,0,0,40,1
487,44,1,3,7,2,8,0,0,0,0,0,46,4
488,26,1,4,9,3,8,4,1,1,0,0,40,1
489,36,1,4,9,1,0,1,2,1,0,0,40,1
490,41,1,6,12,1,5,2,1,0,0,0,50,1
491,67,1,5,15,1,6,1,1,1,20051,0,48,1
492,39,5,10,8,1,1,1,1,1,0,0,50,1
